property_id,name,address,postal_code,lat,lon
FRDHOLD,Frederick Holdroom,3770 PURITAN WAY FREDERICK CO 80516,80516,40.083661,-104.98429
FREEBMN,Freeborn County Adult Detention Center,411 SOUTH BROADWAY AVENUE ALBERT LEA MN 56007,56007,43.646255,-93.367781
FREHOLD,Fresno Holdroom,733 L STREET FRESNO CA 93721,93721,36.732676,-119.785296
FRMVLVA,Immigration Centers of America Farmville,508 WATERWORKS ROAD FARMVILLE VA 23901,23901,37.319501,-78.438276
FSAHOLD,Fort Smith Hold Room,"4991 Old Greenwood Rd, Fort Smith, AR 72903 FORT SMITH AR 72901",72901,35.332868,-94.387825
FSF,Florence Staging Facility,3250 NORTH PINAL PARKWAY FLORENCE AZ 85232,85232,33.06496,-111.378505
GARVIOK,Garvin County Detention Center,201 WEST GRANT AVENUE PAULS VALLEY OK 73075,73075,34.740003,-97.222229
GEAUGOH,Geauga County Jail,12450 MERRITT DR CHARDON OH 44024,44024,41.504557,-81.19155
GFCORND,Grand Forks County Correctional Facility,1701 NORTH WASHINGTON ST GRAND FORKS ND 58206,58206,47.935792,-97.055851
GFJUVND,Grand Forks County,Grand Forks County Correctional Center 1701 North Washington GRAND FORKS ND 58206,58206,47.935792,-97.055851
GJCHOLD,Grand Junction Holdroom,571 S. COMMERCIAL DRIVE GRAND JUNCTION CO 81501,81501,39.087429,-108.585533
GLADEFL,Glades County Detention Center,1297 EAST SR 78 MOORE HAVEN FL 33471,33471,26.838714,-81.124018
GRAYSKY,Grayson County Jail,320 SHAW STATION ROAD LEITCHFIELD KY 42754,42754,37.491073,-86.25788
GREENMO,Greene County Jail,929 N. ROBBERSON SPRINGFIELD MO 65802,65802,37.217759,-93.291068
GRFHOLD,Grand Forks Hold Room,124 NORTH 6TH STREET GRAND FORKS ND 58203,58203,47.92382,-97.034978
GRIHOLD,Grand Island Holdroom,220 N. WALNUT STREET GRAND ISLAND NE 68801,68801,40.924152,-98.343144
GRMHOLD,Grand Rapids Hold Room,517 OTTAWA AVE NW GRAND RAPIDS MI 49503,49503,42.972684,-85.670052
GRRHOLD,Greer Hold Room,"501 Pennsylvania Ave, Greer, SC 29650 GREER SC 29650",29650,34.937155,-82.241882
GSCHOLD,Glenwood Springs Holdroom,100 MIDLAND AVENUE GLENWOOD SPRINGS CO 81601,81601,39.515051,-107.323402
HALLJGA,Hall County Jail,1700 BARBER ROAD GAINESVILLE GA 30507,30507,34.242651,-83.815583
HARDJIA,Hardin County Jail,1116 14TH AVENUE ELDORA IA 50627,50627,42.359845,-93.097371
HARHOLD,Hartford Office,450 MAIN STREET HARTFORD CT 06103,06103,41.651255,-72.603666
HASHENE,Hall County Department of Corrections,110 PUBLIC SAFETY DRIVE GRAND ISLAND NE 68801,68801,40.926919,-98.328077
HASKLTX,Rolling Plains Detention Center,118 COUNTY ROAD 206 HASKELL TX 79521,79521,33.176271,-99.721789
HBGHOLD,Harrisonburg Hold Room,"263 Neff Ave., Harrisonburg, VA 22801 HARRISONBURG VA 22801",22801,38.426799,-78.848388
HELHOLD,Helena District Custody,805 COLLEEN STREET HELENA MT 59601,59601,46.5935,-111.974176
