property_id,name,address,postal_code,lat,lon
JERSEYGARDENS,The Mills at Jersey Gardens,651 Kapkowski Road Elizabeth NJ 07201,7201,40.6599534,-74.1710692
OUTLETSATORANGE,The Outlets at Orange,20 City Boulevard West Orange CA 92868,92868,33.7826672,-117.8929285
CHESTNUTHILL,The Shops at Chestnut Hill,199 Boylston Street Chestnut Hill MA 02467,2467,42.3215125,-71.1756718
CLEARFORK,The Shops at Clearfork,5188 Monahans Avenue Fort Worth TX 76109,76109,32.7101703,-97.4005879
SHOPSCRYSTALS,The Shops at Crystals,3720 South Las Vegas Boulevard Las Vegas NV 89158,89158,36.1083142,-115.1740911
MISSIONVIEJO,The Shops at Mission Viejo,555 The Shops at Mission Viejo Mission Viejo CA 92691,92691,33.5587351,-117.6691519
RIVERSIDE,The Shops at Riverside,One Riverside Square Hackensack NJ 07601,7601,40.905811,-74.0317063
WESTCHESTER,The Westchester,125 Westchester Avenue White Plains NY 10601,10601,41.0312752,-73.7591855
TIPPECANOEMALL,Tippecanoe Mall,2415 Sagamore Parkway South Lafayette IN 47905,47905,40.3915437,-86.850402
TOWNBOCARATON,Town Center at Boca Raton,6000 Glades Road Boca Raton FL 33431,33431,26.364967,-80.1325963
TOWNEEAST,Towne East Square,7700 East Kellogg Wichita KS 67207,67207,37.6826997,-97.2474183
VEGASCONVENTION,Las Vegas Convention Center,"3150 Paradise Rd Las Vegas NV 89109, USA",89109,36.1320181,-115.1520561
ENCOREWYNNVEGAS,Encore at Wynn Las Vegas,"3121 S Las Vegas Blvd Las Vegas NV 89109, USA",89109,36.1298784,-115.1651087
TREASURECOAST,Treasure Coast Square,3174 Northwest Federal Highway Jensen Beach FL 34957,34957,27.2419855,-80.2750113
TUSCONPO,Tucson Premium Outlets,6401 West Marana Center Blvd. Tucson AZ 85742,85742,32.3763729,-111.1031622
TWINCITIESPO,Twin Cities Premium Outlets,3965 Eagan Outlets Parkway Eagan MN 55122,55122,44.8159745,-93.2154391
TYRONE,Tyrone Square,6901 Tyrone Square St. Petersburg FL 33710,33710,27.7937118,-82.7331687
UNIVPARKMALL,University Park Mall,6501 North Grape Road Mishawaka IN 46545,46545,41.719128,-86.1901146
UNIVPARKVILLAGE,University Park Village,1612 South University Drive Fort Worth TX 76107,76107,32.7287633,-97.3630507
VACAVILLE,Vacaville Premium Outlets,321 Nut Tree Road Vacaville CA 95687,95687,38.3668064,-121.9573643
WAIKELE,Waikele Premium Outlets,94-790 Lumiaina Street Waipahu HI 96797,96797,21.402128,-158.0067933
WALTWHITMAN,Walt Whitman Shops,160 Walt Whitman Road Huntington Station NY 11746,11746,40.8202417,-73.4093651
WATERLOOPO,Waterloo Premium Outlets,655 Route 318 Waterloo NY 13165,13165,42.9555461,-76.921395
WATERSIDESHOPS,Waterside Shops,5415 Tamiami Trl North Naples FL 34108,34108,26.2137831,-81.8026186
WESTTOWN,West Town Mall,7600 Kingston Pike Knoxville TN 37919,37919,35.9244853,-84.0383972
WESTFAR<S,Westfarms,1500 New Britain Avenue West Hartford CT 06110,6110,41.7241034,-72.7621046
WHITEOAKS,White Oaks Mall,2501 Wabash Avenue Springfield IL 62704,62704,39.7674788,-89.7035535
WILLIAMSBURGPO,Williamsburg Premium Outlets,5715-62A Richmond Road Williamsburg VA 23188,23188,37.2854381,-76.722488
WOLFCHASE,Wolfchase Galleria,2760 North Germantown Parkway Memphis TN 38133,38133,35.200892,-89.7877063
WOODBURNPO,Woodburn Premium Outlets,1001 Arney Road Woodburn OR 97071,97071,45.1561405,-122.878519
WOODBURY,Woodbury Common Premium Outlets,498 Red Apple Court Central Valley NY 10917,10917,41.3162964,-74.1257144
WOODFIELDM,Woodfield Mall,5 Woodfield Mall Schaumburg IL 60173,60173,42.0457591,-88.0373778
WOODLANDHILLS,Woodland Hills Mall,7021 South Memorial Drive Tulsa OK 74133,74133,36.0637737,-95.8818853
WRENTHAMVIL,Wrentham Village Premium Outlets,One Premium Outlets Boulevard Wrentham MA 02093,2093,42.0380222,-71.3494019
